,formula,target
0,Li6VFe5O12,1.1222000000000003
1,VAg2(PO4)2,1.812
2,Te3(PbO4)2,3.818105584899792
3,Sr4Mg(Cu2O5)2,0.8795663850749934
4,Mg2ClO3,1.7379907143457478
5,MgCr2(CoO3)4,0.5799000000000001
6,Ba2ZrC8O19,2.469562175768947
7,LaBi2ClO4,2.404962266592061
8,La5V3S6O7,1.0339
9,ZnCu2PO9,2.510187688435466
10,CoBiAsO5,2.0761000000000003
11,MnV(PO4)2,0.899
12,Li2Fe(CoO3)2,0.9249
13,K2ScSi2O7,2.259703983343381
14,Li3MnB6O13,1.9312
15,Li10Co4O9,1.1130000000000002
16,B3Pb6ClO10,3.8347040537573194
17,Na2B4O11,2.8813006103362144
18,ScFe2BO5,3.1989
19,AgI3O8,3.5498656542762737
20,Sr15Al6(OF24)2,3.282268459194029
21,Sc3NbO7,3.4078035577832493
22,HgP2(PdO4)2,2.422898338330737
23,Co2AsHO5,1.9639
24,Sr2MgWO6,3.2641
25,CeTa7O19,1.6067154485394122
26,LiCr2(PO3)5,3.016
27,NpN4O11,2.962399864527529
28,LiMo2(PO4)3,0.7024999999999999
29,LaZnAsO,1.296155
30,K3MnO3,1.3245000000000002
31,FeBO3,0.6726999999999999
32,Sr2YBiO6,3.70202517237094
33,Rb3NaRe2O9,3.168898420064077
34,Sr2Cr2O7,0.9243
35,Li2VO2F3,2.252
36,Zn3Fe2(Si2O7)2,2.0757
37,Mn7CrO16,0.5307000000000002
38,Mg2Ta2Mn2O9,2.9985
39,Sb2P2C2O7,3.894107734573252
40,Mg2BiWO6,2.2985
41,MgZn2Bi3O8,1.884586692289674
42,Na4Sn(S2O7)2,2.375475728615345
43,Li9Mn3P8O29,1.4499000000000002
44,SbOF3,2.946989488103227
45,YMn(WO4)2,2.2291
46,Ba2MoO3F4,3.225
47,LiCoCO4,0.6573
48,K2AlOF5,3.35019371044598
49,MgV6O15,0.5368000000000002
50,CaMg6CrO8,2.1824000000000003
51,Al3(PO8)2,3.842209777364801
52,Ca4MnFe3O10,1.4301
53,P5N6(Cl4O)2,3.7309024658240864
54,MgSc2V2O8,1.3847
55,KSb2PO8,3.774920286075745
56,Sr4Mn2CuO9,0.6674000000000002
57,Mg6AlBiO8,2.89213595425102
58,Ba4Sr(SnO3)5,2.1325694793789283
59,EuMg(BO2)5,1.635575850261649
