,formula,target,A,B,composition
0,SmCrO3,1.7362,Sm,Cr,Sm1 Cr1 O3
1,ScCoO3,0.786,Sc,Co,Sc1 Co1 O3
2,GdCrO3,0.825,Gd,Cr,Gd1 Cr1 O3
3,YCrO3,1.7679,Y,Cr,Y1 Cr1 O3
4,LaFeO3,0.8484,La,Fe,La1 Fe1 O3
5,SmCoO3,0.8039,Sm,Co,Sm1 Co1 O3
6,YFeO3,0.6373,Y,Fe,Y1 Fe1 O3
7,LaCrO3,1.9039,La,Cr,La1 Cr1 O3
8,PrCrO3,1.847,Pr,Cr,Pr1 Cr1 O3
9,NdCrO3,1.904,Nd,Cr,Nd1 Cr1 O3
10,YCoO3,0.833,Y,Co,Y1 Co1 O3
11,TmCrO3,1.9289,Tm,Cr,Tm1 Cr1 O3
12,SmFeO3,0.7235,Sm,Fe,Sm1 Fe1 O3
13,NdCoO3,0.7914,Nd,Co,Nd1 Co1 O3
14,RbNbO3,2.69786405,Rb,Nb,Rb1 Nb1 O3
15,DyInO3,2.996601407,Dy,In,Dy1 In1 O3
16,PmErO3,3.361074171,Pm,Er,Pm1 Er1 O3
17,HfBeO3,2.544336147,Hf,Be,Hf1 Be1 O3
18,CsNbO3,2.453558445,Cs,Nb,Cs1 Nb1 O3
19,YbGeO3,2.036664076,Yb,Ge,Yb1 Ge1 O3
20,CeBeO3,2.439456362,Ce,Be,Ce1 Be1 O3
21,SnPbO3,2.035434449,Pb,Sn,Sn1 Pb1 O3
22,CdSnO3,1.230115061,Cd,Sn,Cd1 Sn1 O3
23,MgTiO3,3.19485171,Mg,Ti,Mg1 Ti1 O3
24,GaBiO3,2.249295509,Bi,Ga,Ga1 Bi1 O3
25,NbTlO3,1.074395814,Tl,Nb,Nb1 Tl1 O3
26,TaAgO3,3.135209646,Ag,Ta,Ta1 Ag1 O3
27,GdAlO3,3.423982132,Gd,Al,Gd1 Al1 O3
28,PmInO3,3.056738346,Pm,In,Pm1 In1 O3
29,InBiO3,1.050888283,Bi,In,In1 Bi1 O3
30,CdGeO3,1.748022009,Cd,Ge,Cd1 Ge1 O3
31,EuZrO3,1.34893776,Eu,Zr,Eu1 Zr1 O3
32,KNbO3,2.591651382,K,Nb,K1 Nb1 O3
33,TaTlO3,1.75703493,Tl,Ta,Ta1 Tl1 O3
34,NdInO3,2.999078214,Nd,In,Nd1 In1 O3
35,CsTaO3,3.110664234,Cs,Ta,Cs1 Ta1 O3
36,RbTaO3,3.238718509,Rb,Ta,Rb1 Ta1 O3
37,CaTiO3,3.207813876,Ca,Ti,Ca1 Ti1 O3
38,InSbO3,0.751440056,In,Sb,In1 Sb1 O3
39,EuHfO3,1.513985389,Eu,Hf,Eu1 Hf1 O3
40,BaCeO3,3.941353,Ba,Ce,Ba1 Ce1 O3
41,BaSnO3,1.883683,Ba,Sn,Ba1 Sn1 O3
42,BaTiO3,2.868957,Ba,Ti,Ba1 Ti1 O3
43,HfPbO3,3.53846,Pb,Hf,Hf1 Pb1 O3
44,KTaO3,3.32806,K,Ta,K1 Ta1 O3
45,NaNbO3,2.833721,Na,Nb,Na1 Nb1 O3
46,NbAgO3,2.606289,Ag,Nb,Nb1 Ag1 O3
47,SrSnO3,2.577727,Sr,Sn,Sr1 Sn1 O3
48,SrTiO3,3.094581,Sr,Ti,Sr1 Ti1 O3
49,TiPbO3,2.584444,Pb,Ti,Ti1 Pb1 O3
50,TiSnO3,1.899045,Sn,Ti,Ti1 Sn1 O3
51,ZrPbO3,3.477219,Pb,Zr,Zr1 Pb1 O3
